VENDOR_NAME,CHECK_NUMBER,CHECK_DATE,CHECK_AMOUNT,INVOICE_NUM,INVOICE_DESCRIPTION,DIST_AMOUNT,DISTDESCRIPTION,FUND,FUND_DESCRIPTION,COST_CENTER,COST_DESCRIPTION,ACCOUNT,ACCOUNT_DESCRIPTION,TYPE_OF_DISBUSEMENT
RICHMOND ALARM CO,132619,05/27/2015,3485.36,59745,CUST # 19-12017,1253.17,"Building security payments for Hickory Hill, Bellemeade, Randolph, and Ann Hardy Plaza",100,General Fund,3003,Parks&Rec-Infrastructure,70551,Security/Monitoring Services,EFT
DTC Communications,662224,05/08/2015,700.00,75247,CUT# 060498,400.00,Tracking device updated repair cost,100,General Fund,903,Auditor-Fiscal And Poli,70551,Security/Monitoring Services,CHECK
Miscellaneous Vendor,666285,05/29/2015,1320.00,1502247615-2582229,PROPERTY SOLD-OVERPAYMENT,1320.00,PROPERTY SOLD-OVERPAYMENT,100,General Fund,2510,Finance-City Wide Reven,41051,Real Estate Tax Current,CHECK
R AND R OFFICE SUPPLY,663739,05/14/2015,4518.39,0460333-001,ACCT # CRPA01-0,4.34,207 Impact Pen delivers an ultra-smooth ink flow from a 1.0mm tip. Uni Super Ink prevents check and document fraud and is acid-free. Contemporary barrel design features an extra-control rubber grip for comfort and control in writing. Barrel,100,General Fund,3701,"Press Secr-Comm, Media Rel",71012,Office Supplies And Stationary,CHECK
HOOD MASTERS LLC,663619,05/13/2015,300.00,3101,Kitchen exhaust hood cleaning,300.00,Service to clean the grease exhaust system for the Firestations,100,General Fund,2902,DPW-Gen Svcs-Facili,70217,Mechanical Repair And Maint Services,CHECK
MOTOROLA COMMUNICATIONS,663255,05/12/2015,1432.20,91819018,CUST 1000423875 0002,-1433.00,Belt holsters,902,Radio Service,8720,Radio Shop-DEC,77301,Cost Good Sold Radio Parts,CHECK
SMITH TURF AND IRRIGATION,663816,05/15/2015,199.40,2900179,CUSTOMER 124190,-250.00,STI_Irrigation Parts (back flow),100,General Fund,2905,DPW-Grounds Mainten,71111,Agric And Botanical Supplies,CHECK
Miscellaneous Vendor,662837,05/12/2015,24.53,1435138914-2549937,PP 2014 94460,24.53,PP 2014 94460,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Ingram Library Service Inc,660472,05/05/2015,934.72,66580479,ACCT# 20K8058,42.14,ACCT# 20K8058,100,General Fund,304,Library -Young Adult Services,71141,Books & Reference Materials,CHECK
DIAMOND SPRINGS WATER,126938,05/01/2015,3.25,317035480,PROPERTY AND EVIDENCE,3.25,5 Gallon Spring Water Refills and Equipment Rental,100,General Fund,4103,Police-Administration,70553,Food & Drink Services,EFT
DIAMOND SPRINGS WATER,126938,05/01/2015,3.25,317035480,PROPERTY AND EVIDENCE,3.25,5 Gallon Spring Water Refills and Equipment Rental,100,General Fund,4103,Police-Administration,70553,Food & Drink Services,EFT
DIAMOND SPRINGS WATER,126938,05/01/2015,3.25,317035480,PROPERTY AND EVIDENCE,3.25,5 Gallon Spring Water Refills and Equipment Rental,100,General Fund,4103,Police-Administration,70553,Food & Drink Services,EFT
DIAMOND SPRINGS WATER,126938,05/01/2015,3.25,317035480,PROPERTY AND EVIDENCE,3.25,5 Gallon Spring Water Refills and Equipment Rental,100,General Fund,4103,Police-Administration,70553,Food & Drink Services,EFT
DIAMOND SPRINGS WATER,126938,05/01/2015,3.25,317035480,PROPERTY AND EVIDENCE,3.25,5 Gallon Spring Water Refills and Equipment Rental,100,General Fund,4103,Police-Administration,70553,Food & Drink Services,EFT
DIAMOND SPRINGS WATER,126938,05/01/2015,3.25,317035480,PROPERTY AND EVIDENCE,3.25,5 Gallon Spring Water Refills and Equipment Rental,100,General Fund,4103,Police-Administration,70553,Food & Drink Services,EFT
Miscellaneous Vendor,662830,05/12/2015,35.23,1437646614-2550050,PP 2014 208147,35.23,PP 2014 208147,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,663165,05/12/2015,17.60,1452391114-2550251,PP 2014 348184,17.60,PP 2014 348184,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Kristen Brown,664472,05/20/2015,570.00,KB051815PO,ASSIST WITH CHEER,570.00,Battery Park:  recreation program support,401,Special Revenue Fund,3009,Parks&Rec Projects/Grants,70552,Contract And Temporary Personnel Services,CHECK
BEST UNIFORMS INC,662053,05/07/2015,825.81,3029250,ACCT# 1000875995,40.50,3 men's  L/S shirt  Miracle Wendell,100,General Fund,1602,Sheriff-Courts,71011,Uniforms & Safty Supplies-Employee,CHECK
MILES AHEAD DISTRIBUTION INC,127400,05/05/2015,37438.35,5174-4,Cleaning Supplies,79.80,Cherry Urinal Screens 12/cs.,100,General Fund,2902,DPW-Gen Svcs-Facili,71131,Janitorial Supplies,EFT
HD SUPPLY UTILITIES,132030,05/21/2015,6.30,2848719-00,Cust # 58833,53.00,DUXSEAL 10 LB PACKAGE (2/5# per pack),811,Stores Operating Fund,99001,DPU Administration,21001,Accounts Payable-Control Account,EFT
BALL OFFICE PRODUCTS LLC,664967,05/26/2015,531.74,0371200-001,RDPU-0,6.83,"BATTERY,ALKA,C,8PK,ENGZR",808,Water Operating Fund,98001,Customer Service,71012,Office Supplies And Stationary,CHECK
ENTERPRISE LEASING CO,662342,05/11/2015,39.48,5358843,"RAMOS, MELANIE",39.48,Enterprise car rental,901,Fleet Management,2925,DPW-Fleet Managemen,70412,Transportation Services,CHECK
NFPA,664665,05/21/2015,1632.66,3046311,Membership Dues,84.15,"NFPA-Books Mandated by State NEC NFPA 72, Book  7210",100,General Fund,502,PDR-Permits And Ins,71141,Books & Reference Materials,CHECK
EXCEL MANAGEMENT SERVICES,127391,05/05/2015,1196.80,RIC010-001,Contract: RIC-010 Asses...,298.54,"Responsible for administrative tasks such as maintaining records and files, codes and enters data, able to use spreadsheets and similar software.",100,General Fund,801,Assessor- Administrative,71012,Office Supplies And Stationary,EFT
Miscellaneous Vendor,662767,05/12/2015,25.25,1433579014-2549810,PP 2014 76730,25.25,PP 2014 76730,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Tracey Lewis,664728,05/21/2015,15.01,TRVS-1501275,TRAVEL SETTLEMENT 5/6/15,460.35,TRAVEL SETTLEMENT 5/6/15,100,General Fund,2912,DPW-Roadway Mai,72123,Membership Dues,CHECK
Miscellaneous Vendor,662151,05/08/2015,29.21,468353-001536,DPUCIS: RONALD HAMILTON  07-MAY-15,29.21,DPUCIS: RONALD HAMILTON  07-MAY-15,812,Undistributed Fund,99001,DPU Administration,10301,Accounts Receivable,CHECK
Miscellaneous Vendor,666122,05/29/2015,37.61,1431812514-2582280,DSV,37.61,DSV,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
R AND R OFFICE SUPPLY,664311,05/19/2015,8675.88,0462293-001,ATTN: CAROL PLAZA,7.16,"Stick ballpoint pen features an ergonomic barrel design with a soft, latex-free rubberized Comfort Zone grip. Offers exceptional balance, comfort and control for fatigue-free writing. Durable stainless steel tip delivers a consistent line w",100,General Fund,2725,Social Ser-East District I,71012,Office Supplies And Stationary,CHECK
BRANSCOME INC,127078,05/04/2015,4441.50,445238 R1,CUST# 10054837,1714.50,Cold Mix Asphalt for temporary patching.,801,Gas Construction Fund,94002,Natural Gas Distribution and Construction,70123,Contractor Construction Sevices,EFT
Miscellaneous Vendor,662823,05/12/2015,13.88,1440103814-2550129,PP 2014 289845,13.88,PP 2014 289845,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
R AND R OFFICE SUPPLY,664944,05/26/2015,800.61,0460076-001,ACCT CRPA01-0,-3.55,DEF20011 - SUCTION CUPS,401,Special Revenue Fund,1406,Human Services Projects/Grants,71012,Office Supplies And Stationary,CHECK
CLANCY SYSTEMS,664353,05/19/2015,76.11,RVA1412B,AGREEMENT # 10105-1,76.11,Parking Ticket Issuance and management of system,1203,Parking Enterprise Fund,8603,Parking Administration,70215,Equipment Repair and Maint Services,CHECK
R AND R OFFICE SUPPLY,663289,05/12/2015,6120.42,0449897-001,ACCT# CRPA01-0,39.36,"Versatile hole punch requires absolutely no effort to switch from two-hole to three-hole format. No screwdrivers or adjustments are needed. One side is a dedicated three-hole punch, while the other side is a dedicated two-hole punch. Lever",100,General Fund,8701,Emergency Communication,71012,Office Supplies And Stationary,CHECK
Miscellaneous Vendor,663020,05/12/2015,165.99,1439114214-2550100,PP 2014 257582,25.50,PP 2014 257582,100,General Fund,2510,Finance-City Wide Reven,42201,Automobile License Curr,CHECK
Miscellaneous Vendor,664084,05/19/2015,10.88,1335325913-2556808,PP 2013 151236,10.88,PP 2013 151236,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,660969,05/06/2015,9.79,1434226514-2544255,PP 2014 84532,9.79,PP 2014 84532,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
"PRO CHEM, INC.",130945,05/14/2015,3503.00,0557845-INREENTER,S/O #0485286,265.90,Pro Chem-airmtc 135811,100,General Fund,2905,DPW-Grounds Mainten,71012,Office Supplies And Stationary,EFT
R AND R OFFICE SUPPLY,664944,05/26/2015,800.61,0462670-001,ALMA GRIFFIN,4.55,Stapler offers ergonomic stand-up design that takes up less desk space than conventional desktop staplers. Rotating anvil allows stapling and pinning. Design also features comfort hand grips and all-metal working parts. Stapler fastens up t,100,General Fund,2703,Social Ser-Fin Assist Admi,71012,Office Supplies And Stationary,CHECK
MODIS INC,662046,05/07/2015,24609.42,6904568,CUST # MPS0002993,13340.46,Hours for David Stanley Project Management services,100,General Fund,2501,Finance-Management,70552,Contract And Temporary Personnel Services,CHECK
BALL OFFICE PRODUCTS LLC,662345,05/11/2015,1138.06,0369884-001,ACCT # DPUWAR-0,61.96,Ball Office - Microwave purchased for Technical Services per Quote #0016589 and Contract #15000011534.,808,Water Operating Fund,96001,Technical Services,72153,"Equipment (Less Than 5,000)",CHECK
Miscellaneous Vendor,663073,05/12/2015,5.41,1438817614-2550089,PP 2014 247233,2.16,PP 2014 247233,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,662895,05/12/2015,17.32,1450921514-2550218,PP 2014 338983,17.32,PP 2014 338983,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,660780,05/06/2015,21.75,1332233313-2543330,VEH MOVED OUT OF CITY,21.75,VEH MOVED OUT OF CITY,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
RIBBONS AND ROLLS  INC,664555,05/20/2015,2975.38,0443667-001REENTER,CUST CRPA01-0,9.99,"Quote 7048 for G12 
PAP22726 GREEN   HIGHLIGHTERS",100,General Fund,504,PDR-Prop. Maint Cod,71012,Office Supplies And Stationary,CHECK
Miscellaneous Vendor,661721,05/06/2015,18.34,1331397413-2543251,DSV,18.34,DSV,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
CFS GROUP LLC,660190,05/04/2015,453.14,87217,CUST#001451,48.14,Refuse collections services for all Facilities locations,100,General Fund,2902,DPW-Gen Svcs-Facili,72175,Refuse & Recycling Expenses,CHECK
Miscellaneous Vendor,665950,05/28/2015,62.28,716503-001712,DPUCIS: PURNIMA THYAGARAJAN  27-MAY-15,62.28,DPUCIS: PURNIMA THYAGARAJAN  27-MAY-15,812,Undistributed Fund,99001,DPU Administration,10301,Accounts Receivable,CHECK
ANIXTER INC,661981,05/06/2015,622.78,229-239833,CUST# 073548,450.88,Anixter: 212092 CORNING-C UCAO-05-24 SPLICE CLOSURE 24 FIBER WITH TRAYS FOR HEAT SHRINK,100,General Fund,2910,DPW-Trans Admin/Sig,70215,Equipment Repair and Maint Services,CHECK
Miscellaneous Vendor,661567,05/06/2015,9.79,1432648414-2544204,PP 2014 63046,9.79,PP 2014 63046,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,661142,05/06/2015,8.92,1430252414-2544138,PP 2014 8795,8.92,PP 2014 8795,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,663089,05/12/2015,16.51,1434291614-2549869,PP 2014 85324,16.51,PP 2014 85324,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
EXCLUSIVE TEMPS,664043,05/18/2015,1589.00,46810,"FOBBS,MELTON,SMITH -W/E 01/18/15",-409.06,"Contract Spec - Handle complex procurement activities. Review IFB's and RFP's, contract negotiations, contract agreements",100,General Fund,2725,Social Ser-East District I,70552,Contract And Temporary Personnel Services,CHECK
CARDINAL RUBBER AND SEAL,662446,05/11/2015,718.77,1219047,"CLEAR PVC TUBING, DOME",46.24,Miscellaneous parts,808,Water Operating Fund,98001,Customer Service,76104,Utility Operating Supplies,CHECK
MEGA STAFFING SOLUTIONS INC,661842,05/06/2015,579.84,300002861,Cust # 3022,579.84,"Assists in the operation of asphalt pavers or chip spreaders; operates patch rollers and acts as a hot asphalt tracer and tamper in a paving crew; drives trucks in the performance of regular duties and assists in loading; transporting, and",100,General Fund,2904,DPW-Surface Cleanin,70552,Contract And Temporary Personnel Services,CHECK
MARTIN  MARIETTA AGGREGATES,663815,05/15/2015,11404.89,15091659,CUST# 471030,161.06,crushed stones aggregate base course,802,Water Construction Fund,92001,Water Operations,76120,Paving,CHECK
Miscellaneous Vendor,662774,05/12/2015,16.71,1433957014-2549842,PP 2014 81462,16.71,PP 2014 81462,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
RANDSTAD NORTH AMERICA LP,660008,05/01/2015,6788.64,13605133,"GERNAT, DOUGLAS",3948.64,Staff Augmantation Services: Resource Douglas Gernat.,100,General Fund,2004,DIT-Operations,70552,Contract And Temporary Personnel Services,CHECK
TRAFFORD CORPORATION,131025,05/15/2015,174580.81,NG3/14/2015,New Gas: March 2015,498.60,Installation of New Gas Facilities,801,Gas Construction Fund,94002,Natural Gas Distribution and Construction,70123,Contractor Construction Sevices,EFT
AUTOMATIC CONTROLS OF VA  INC,131554,05/19/2015,1600.00,150298,WORK ON CANAL GATE,1600.00,QUOTATION# 0573117479WDJ LABOR FOR EIM SERVICES 2 DAYS OF EIM SERVICES AT 800 PER DAY,808,Water Operating Fund,92002,Water Maintenance,70215,Equipment Repair and Maint Services,EFT
SECURITY BUSINESS ARCHIVES INC,663322,05/12/2015,209.27,10115005,STORAGE,209.27,Offsite Secure Data storage solution used to store backup media for Disaster recovery.,100,General Fund,2004,DIT-Operations,72153,"Equipment (Less Than 5,000)",CHECK
ULTRA VIOLET LASER SUPPLIES,131273,05/18/2015,171.25,88475,WIRELESS INJET IPRINTER,171.25,OFFICEJET PRO 8100 WIRELESS INKJET EPRINTER,100,General Fund,2902,DPW-Gen Svcs-Facili,71012,Office Supplies And Stationary,EFT
CHAMBERLAIN MECHANICAL SERVICE,664664,05/21/2015,13655.00,49723,LABOR AND MATERIAL,4398.54,Chamberlain Mechanical Service - Repair/replace cooling tower pipes and valves,807,Gas Operating Fund,90002,Operations Support,70215,Equipment Repair and Maint Services,CHECK
Shred-it US JV LLC,664745,05/21/2015,405.00,S 46135434,ACCT # 1414956,67.50,Shred paper.,100,General Fund,3607,Econ Dev-Workforce Devel,70161,Management Services,CHECK
MEGA STAFFING SOLUTIONS INC,661994,05/06/2015,588.00,300002898,Cust ID # 3007,588.00,"Posts items to accounts, prepares vouchers. Maintains files, distributes reports, performs simple data entry into internal agency system. Inventories receives, and shelves routine supplies. Reviews invoices/packing slips to ensure shipment",100,General Fund,2904,DPW-Surface Cleanin,70552,Contract And Temporary Personnel Services,CHECK
Miscellaneous Vendor,662908,05/12/2015,17.53,1437269614-2550035,PP 2014 195690,17.53,PP 2014 195690,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Miscellaneous Vendor,662574,05/12/2015,17.93,1431238814-2549657,PP 2014 37453,17.93,PP 2014 37453,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
TIDEWATER FLEET SUPPLY LLC,133936,05/29/2015,120486.48,32515,RICHMOND GARAGE,11699.22,Commerce Rd March Billing,901,Fleet Management,2925,DPW-Fleet Managemen,77101,Auto Parts & Other Automotive Supplies,EFT
TIDEWATER FLEET SUPPLY LLC,133936,05/29/2015,120486.48,32515,RICHMOND GARAGE,11699.22,Commerce Rd March Billing,901,Fleet Management,2925,DPW-Fleet Managemen,77101,Auto Parts & Other Automotive Supplies,EFT
Miscellaneous Vendor,663187,05/12/2015,35.53,1435606914-2549961,PP 2014 127897,11.50,PP 2014 127897,100,General Fund,2510,Finance-City Wide Reven,42201,Automobile License Curr,CHECK
Miscellaneous Vendor,661075,05/06/2015,5.84,1340079613-2543932,PP 2013 287566,5.84,PP 2013 287566,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
Terry C Dysic Pryor,662304,05/11/2015,100.00,412207695,LANELL ROBINSON,100.00,mediation services - Lanell Robinson,100,General Fund,1902,JDC-Dispute Resolut,70161,Management Services,CHECK
BERGER AND BURROW ENTERPRISES,666033,05/28/2015,171.00,23121,MOBILE X-RAY SERVICES FOR APRIL 2015,171.00,Mobile X-Ray Services,100,General Fund,1502,Juv Justice-Detention,71171,Medical And Laboratory Supp,CHECK
EXCLUSIVE TEMPS,665104,05/27/2015,10252.53,47112,D.TYLER -W/E 4/5/15,-445.76,"General Clerk I -Collates, files, forms",100,General Fund,2725,Social Ser-East District I,70552,Contract And Temporary Personnel Services,CHECK
TREASURER COMMONWEALTH OF VA,664492,05/20/2015,48.00,1319NORTH,1319 NORTH 27TH STREET,48.00,VITAL RECORD REQUEST FOR JUDICIAL TAX SALES--1319 NORTH 27,401,Special Revenue Fund,1002,Attorney-Delinquent Real,70152,Attorney/Legal Services,CHECK
Miscellaneous Vendor,663077,05/12/2015,5.25,1438690014-2550085,PP 2014 243912,5.25,PP 2014 243912,100,General Fund,2510,Finance-City Wide Reven,41203,Pp Tax Delinquent,CHECK
R AND R OFFICE SUPPLY,660040,05/01/2015,3255.05,0460838-001,ACCT#CRPA01-0,33.56,Gel ink rolling ball pen is made with a high percentage of recycled material. Dynamic gel ink formula is designed for smooth writing. Retractable pen is smearproof. Refillable.,100,General Fund,2908,DPW-Row-Permits/Sur,71012,Office Supplies And Stationary,CHECK
ROBERT HALF INTERNATIONAL,663246,05/12/2015,17317.48,42598729,CACKOWSKI,598.88,OfficeTeam A Robert Half Company. Temps for the Call Center week ending  3/15/15 DPU-70552,807,Gas Operating Fund,98001,Customer Service,70552,Contract And Temporary Personnel Services,CHECK
GRAINGER INDUSTRIAL SUPPLY,662229,05/08/2015,2240.37,9714841096,ACCT 825085095,2240.37,Emergency Light Input Voltage 120277 Watts 90 Minutes 18 Lamp Watts 9 Output Voltage 6VDC Width 9 In. Length 12 In. Height 12-12 In. Lamp Type Krypton Housing Material Thermoplastic Housing Color GrayNavy Battery Type Lead Calcium Number of,809,Waste Water Operating Fund,93002,Wastewater Maintenance,76104,Utility Operating Supplies,CHECK
INFIAN LLC,664957,05/26/2015,26218.60,INV-1408-2015,Operating Supplies,945.00,MObotix M25 camera,100,General Fund,4103,Police-Administration,70215,Equipment Repair and Maint Services,CHECK
Robert C Steidel,663594,05/13/2015,1067.20,TRVA-1501346,Travel Advance May 18-21/15,1067.20,Travel Advance May 18-21/15,100,General Fund,0,Default,10333,Travel Advance,CHECK
RICHMOND ALARM CO,131582,05/19/2015,285.00,41160,CUST 19-1365,41.00,Security monitoring services for all Facilities locations.,100,General Fund,2902,DPW-Gen Svcs-Facili,70551,Security/Monitoring Services,EFT
WITMER PUBLIC SAFETY GROUP INC,663921,05/18/2015,3239.36,1610678.001,LIFESAVING MODUAL,195.00,BK-A10398 - HONOR GUARD RIBBON,100,General Fund,4202,Fire-Fire Administra,71144,Recreational Supplies,CHECK
Donna Smith,660177,05/04/2015,26.01,TRVS-1501169,TRAVEL SETTLEMENT 4/19/15,-586.38,Travel Advance April 19-21/15,100,General Fund,0,Default,10333,Travel Advance,CHECK
Standby Systems Inc,665014,05/26/2015,567.00,4150711,CUST 326,94.50,"Generator services for all locations.
Contract # 15000017359",100,General Fund,2902,DPW-Gen Svcs-Facili,70214,Electrical Repair and Maint Services,CHECK
COMCAST,664547,05/20/2015,26127.97,34099352,ACCT # 939743482,3297.00,Broadband Internet Services.,100,General Fund,2006,DIT-Telecommunication,72115,Telecommunictions Service,CHECK
SID TOOL CO INC,665144,05/27/2015,2021.15,49599915,31835267,147.00,ITEM NO# 31835325 - BLADE FAN,100,General Fund,4203,Fire-Fire Operations,72153,"Equipment (Less Than 5,000)",CHECK
